time,open,high,low,close,volume
1776855600,78157.41,78399.0,78102.0,78300.0,560.88264
1776859200,78300.0,78508.18,78114.04,78236.05,952.94008
1776862800,78236.05,78850.0,78162.64,78840.94,1253.18724
1776866400,78840.94,79174.68,78577.86,79045.75,1847.69509
1776870000,79045.75,79400.0,78837.66,79272.9,1412.004
1776873600,79272.91,79472.82,78632.37,78743.59,1010.97362
1776877200,78743.6,79034.73,78705.71,78900.0,502.31388
1776880800,78900.01,79163.66,78828.76,79022.39,322.94022
1776884400,79022.4,79067.6,78706.81,78846.62,557.30668
1776888000,78846.62,78915.84,78410.0,78436.68,436.66543
1776891600,78436.69,78821.86,78425.0,78762.69,299.34545
1776895200,78762.68,78824.0,78456.15,78607.95,294.6414
1776898800,78607.95,78607.95,78155.83,78178.23,712.06893
1776902400,78178.22,78574.44,77582.17,78424.29,1778.58027
1776906000,78424.3,78472.95,78057.5,78359.23,586.8685
1776909600,78359.71,78359.72,77761.2,77939.92,508.32327
1776913200,77939.91,78025.99,77453.43,77746.46,609.2036
1776916800,77746.47,77949.09,77675.8,77920.09,305.0499
1776920400,77920.09,78110.01,77750.0,78033.87,680.89298
1776924000,78034.0,78339.35,78034.0,78211.43,433.12959
1776927600,78211.43,78248.39,77981.88,78048.62,292.35484
1776931200,78048.61,78175.52,77714.86,77858.35,1135.26875
1776934800,77858.34,77860.8,77440.85,77655.34,772.05261
1776938400,77655.35,77709.16,77174.01,77403.63,1129.48909
1776942000,77403.63,77757.31,77365.57,77704.62,525.42671
1776945600,77704.61,77870.54,77491.18,77870.53,636.21566
1776949200,77870.54,77904.37,77379.92,77532.23,592.70115
1776952800,77532.23,78201.53,77414.0,78180.77,926.52082
1776956400,78180.78,78662.5,77983.25,78376.76,1008.45262
1776960000,78376.77,78509.82,78030.0,78103.72,661.93618
1776963600,78103.72,78184.85,76960.0,77769.21,1724.53866
1776967200,77769.2,78146.75,77678.65,77678.65,731.06838
1776970800,77678.65,77886.88,77592.92,77727.26,830.20485
1776974400,77727.25,78050.0,77637.5,77886.97,391.74493
1776978000,77886.97,78070.0,77800.0,77864.83,211.37751
1776981600,77864.84,78331.0,77864.83,78235.3,271.3302
1776985200,78235.29,78298.01,78030.0,78257.48,228.06394
1776988800,78257.48,78490.83,78172.01,78417.22,451.37457
1776992400,78417.22,78450.0,77952.16,78429.73,533.84795
1776996000,78429.73,78581.93,78067.17,78125.65,425.56297
1776999600,78125.65,78178.4,77555.0,77737.85,639.95986
1777003200,77737.84,77854.57,77482.49,77670.0,605.14416
1777006800,77670.01,78057.65,77457.0,77953.48,423.6718
